HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
77638,"Health Alliance Midwest, Inc.",IA,N/A,N/A,-19846.16
67580,John Alden Life Insurance Company,IA,N/A,N/A,-63213.98
50735,Medical Associates Health Plans,IA,N/A,N/A,-285469.43
51474,Pekin Life Insurance Company,IA,N/A,N/A,-61839.36
85930,Sanford Health Plan,IA,N/A,N/A,36341.21
48569,Standard Security Life,IA,N/A,N/A,-2102.24
68184,Time Insurance Company,IA,1242068.11,-338678.1,-13859.22
88678,UnitedHealthcare Insurance Company,IA,N/A,N/A,111696.1
56610,"UnitedHealthcare Plan of the River Valley, Inc.",IA,N/A,N/A,-54442.57
25896,Wellmark Health Plan of Iowa,IA,782563.16,-2547979.51,501033.39
72160,Wellmark Inc.,IA,13566797.89,4605847.67,3535403.52
61175,Aetna Health of Utah Inc.,ID,18151.34,-24771.68,-157276.56
61589,"Blue Cross of Idaho Health Service, Inc.",ID,46067383.55,-7228265.36,557788.36
59765,BridgeSpan Health Company,ID,712878.62,574321.44,N/A
52156,John Alden Life Insurance Company,ID,N/A,N/A,45076.99
60597,PacificSource Health Plans,ID,2266284.66,663249.2,-228325.54
44648,Regence Blue Shield of Idaho,ID,282450.45,371605.98,1175263.46
26002,SelectHealth,ID,22446618.57,5450923.74,-1392526.68
28218,Time Insurance Company,ID,510134.56,192936.56,N/A
99129,Aetna Health Inc. (a PA corp.),IL,N/A,N/A,-370976.96
72547,Aetna Life Insurance Company,IL,917024.2,125878.03,-719734.14
36096,Blue Cross Blue Shield of Illinois,IL,277754457.9,-10823647.68,4303605.47
27833,Celtic Insurance Company,IL,0,15156.6,N/A
35670,Coventry Health & Life Co.,IL,2168704.98,-2604833.08,-400513.48
96601,"Coventry Health Care of Illinois, Inc.",IL,6155110.05,-3262695.3,-1048560.53
66143,Federated Mutual Insurance Company,IL,N/A,N/A,-390516.48
82506,Freedom Life Insurance,IL,57607.05,59844.74,N/A
20129,"Health Alliance Medical Plans, Inc.",IL,4523529.04,2597374.35,-998963.73
58288,"Humana Health Plan, Inc.",IL,1706900.43,614409.67,-1028302.66
68303,Humana Insurance Company,IL,8206407.61,8268175.79,4255065.52
57020,John Alden Life Insurance Company,IL,N/A,N/A,183726.24
79763,Land of Lincoln Mutual Health Insurance Company,IL,4808906.25,816860.44,-390929.05
59311,Madison National Life,IL,N/A,N/A,-3535.77
24301,Medical Associates Health Plans,IL,N/A,N/A,-131881.33
53586,Nippon Life Insurance Company of America,IL,N/A,N/A,-42724.33
18389,Pekin Life Insurance Company,IL,N/A,N/A,-52688.31
40448,Standard Security Life,IL,N/A,N/A,-28.68
67807,Time Insurance Company,IL,6649598.67,4193476.5,20402.52
92476,UnitedHealthcare Ins Co of Illinois,IL,N/A,N/A,-700664.41
34446,UnitedHealthcare Ins Co of River Valley,IL,N/A,N/A,-1540017.03
42529,"UnitedHealthcare of Illinois, Inc.",IL,N/A,N/A,-724765.7
58239,"UnitedHealthcare Plan of the River Valley, Inc.",IL,N/A,N/A,-217997.08
32378,Aetna Life Insurance Company,IN,N/A,N/A,-649454.74
36373,All Savers Insurance Company,IN,N/A,N/A,-425165.15
17575,Anthem Ins Companies Inc(Anthem BCBS),IN,63611127.93,-35299047.7,5862596.41
76179,Celtic Insurance Company,IN,0,-7885.97,N/A
35065,Coordinated Care Corporation Indiana,IN,102697.05,-323051.82,N/A
11104,Federated Mutual Insurance Company,IN,N/A,N/A,-22411.92
43442,Humana Health Plan,IN,N/A,N/A,-19667.22
99791,Humana Insurance Company,IN,15014843.87,12712802.22,28264.72
95074,John Alden Life Insurance Company,IN,N/A,N/A,-124424.43
85320,"MDwise, Inc.",IN,17158478.6,18423632.06,N/A
43499,Medical Mutual of Ohio,IN,N/A,N/A,-265136.19
98761,Nippon Life Insurance Company of America,IN,N/A,N/A,-117653.72
79828,Pekin Life Insurance Company,IN,N/A,N/A,-71406.41
50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,10350382.87,-4011882.59,115029.27
67920,Southeastern Indiana Health Organization,IN,N/A,N/A,-840621.54
50442,Standard Security Life,IN,N/A,N/A,-17085.65
91842,Time Insurance Company,IN,15491452.97,8505433.96,-90416.73
62052,Trustmark Life Insurance Company,IN,N/A,N/A,39262.67
72850,UnitedHealthcare Insurance Company,IN,N/A,N/A,-3241006.75
35755,US Health and Life Insurance Company,IN,N/A,N/A,-160702.61
84600,Aetna Life Insurance Company,KS,N/A,N/A,-266018.93
94248,Blue Cross and Blue Shield of Kansas City,KS,11523299.72,8092802.17,1450193.47
18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,25958565.69,7698173.07,1056774.58
34368,Celtic Insurance Company,KS,0,3792.7,N/A
61430,Coventry Health and Life,KS,18150600.47,-10156545.5,-84693.06
65598,Coventry Health Care Of Kansas Inc,KS,6787834.35,-5910292.03,-713955.94
96352,Federated Mutual Insurance Company,KS,N/A,N/A,-171528.97
54822,Freedom Life Insurance,KS,0,-230.08,N/A
49857,"Humana Health Plan, Inc.",KS,N/A,N/A,-125193.09
19968,Humana Insurance Company,KS,385045.35,97760.97,-291686.41
98618,John Alden Life Insurance Company,KS,N/A,N/A,-75807.36
71122,Time Insurance Company,KS,2664586.18,174538.76,-9478.41
94968,UnitedHealthcare Insurance Company,KS,N/A,N/A,-768605.82
77029,All Savers Insurance Company,KY,N/A,N/A,-3311.9
36239,Anthem Health Plans of KY(Anthem BCBS),KY,10851899.04,4889935.19,2798476.94
40586,"Bluegrass Family Health, Inc.",KY,N/A,N/A,-1254224.27
15411,"Humana Health Plan, Inc.",KY,7877805.71,1152387.48,-1929958.7
33734,John Alden Life Insurance Company,KY,N/A,N/A,-22525.81
77894,Kentucky Health Cooperative,KY,58086349.7,-7829059.51,-49429.47
19503,Time Insurance Company,KY,2528454.66,1786736.84,196961.32
23671,"UnitedHealthcare of Kentucky, Ltd.",KY,N/A,N/A,312802.38
45920,"UnitedHealthcare of Ohio, Inc.",KY,N/A,N/A,-48790.45
81941,Aetna Health Inc. (a LA corp.),LA,1125984.52,-2764603.7,-120226.85
14030,Aetna Life Insurance Company,LA,N/A,N/A,-11121.47
93653,All Savers Insurance Company,LA,N/A,N/A,-6296.82
22381,Coventry Health and Life,LA,N/A,N/A,-37335.05
19913,Freedom Life Insurance,LA,0,72093.27,N/A
19636,"HMO Louisiana, Inc.",LA,11532268.15,-12245987.34,-674763.59
44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,7813491.4,482642.43,-119935.54
89219,John Alden Life Insurance Company,LA,N/A,N/A,-23667.98
67202,"Louisiana Health Cooperative, Inc.",LA,9878052.34,-7456986.26,-36621.89
97176,Louisiana Health Service & Indemnity Company,LA,59187419.01,22005546.46,803668.2
31434,Time Insurance Company,LA,1428188.05,323444.34,8246.81
69842,UnitedHealthcare Insurance Company,LA,N/A,N/A,511621.86
38499,"UnitedHealthcare of Louisiana, Inc.",LA,N/A,N/A,-97687.22
67243,"Vantage Health Plan, Inc.",LA,5014154.17,-416149.3,-195880.47
42690,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc. ***",MA,37222783,N/A,N/A
24675,"Blue Cross and Blue Shield of Massachusetts, Inc. ***",MA,78976.66,N/A,N/A
82569,"Boston Medical Center Health Plan, Inc. ***",MA,130830.24,N/A,N/A
31234,CeltiCare Health Plan of MA***,MA,0,N/A,N/A
88950,"ConnectiCare of Massachusetts, Inc. ***",MA,0,N/A,N/A
88806,"Fallon Community Health Plan, Inc. ***",MA,2543005,N/A,N/A
52710,Fallon Health & Life Assurance Company***,MA,51087.41,N/A,N/A
36046,Harvard Pilgrim Health Care Inc. ***,MA,9694228.25,N/A,N/A
34484,"Health New England, Inc. ***",MA,774704.21,N/A,N/A
95878,HPHC Insurance Company Inc. ***,MA,2225269.37,N/A,N/A
73331,"Minuteman Health, Inc.***",MA,1167.6,N/A,N/A
41304,Neighborhood Health Plan***,MA,11225924.12,N/A,N/A
29125,Tufts Associated Health Maintenance Org***,MA,9896287.04,N/A,N/A
59763,Tufts Health Public Plans Inc. ***,MA,116022.27,N/A,N/A
38712,Tufts Insurance Company***,MA,1677442.23,N/A,N/A
31779,UnitedHealthcare Insurance Company***,MA,0,N/A,N/A
66516,Aetna Health Inc. (a PA corp.),MD,N/A,N/A,11143.81
70767,Aetna Life Insurance Company,MD,N/A,N/A,85307.78
36677,All Savers Insurance Company,MD,266389.22,272660.9,N/A
28137,"CareFirst BlueChoice, Inc.",MD,33674052.57,-12598519.03,-4834145.8
45532,"CareFirst of Maryland, Inc.",MD,21694659.41,9718734.15,3249730.99
68541,Coventry Health and Life,MD,N/A,N/A,-1991429.33
14468,"Coventry Health Care of Delaware, Inc.",MD,N/A,N/A,-4255487.55
72564,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,N/A
94084,GHMSI,MD,9970292.23,5177916.02,5641971.56
90296,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,1405157.3,-2210325.79,773138.57
65635,MAMSI Life and Health Insurance Company,MD,N/A,N/A,860842.04
72375,"Optimum Choice, Inc.",MD,N/A,N/A,-765269.83
23620,UnitedHealthcare Insurance Company,MD,N/A,N/A,1556233.82
31112,UnitedHealthcare of the Mid-Atlantic Inc.,MD,N/A,N/A,-332036
53357,Aetna Life Insurance Company,ME,N/A,N/A,-2225221.04
48396,Anthem Health Plans of ME(Anthem BCBS),ME,5456360.21,363457.73,2604015.24
96667,Harvard Pilgrim Health Care Inc.,ME,41057.31,-72007.16,-814362.12
11593,HPHC Insurance Company Inc.,ME,754640.17,578793.75,347234.34
33653,Maine Community Health Options,ME,35448310.19,-926811.51,97813.31
85076,The MEGA Life and Health Insurance Company,ME,205000,56567.18,N/A
90214,UnitedHealthcare Insurance Company,ME,N/A,N/A,-9479.76
81068,Aetna Life Insurance Company,MI,379492.96,-299479.55,N/A
52670,All Savers Insurance Company,MI,N/A,N/A,-19155.16
67577,Alliance Health and Life Insurance Company,MI,2529564.79,1895578.59,-181245.97
98185,Blue Care Network of Michigan,MI,54508071.26,-47134095.64,-5484016.17
15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,104173592.8,67492960.02,13529304.35
35443,Celtic Insurance Company,MI,0,-633,N/A
41895,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,-1252756.84
82649,Federated Mutual Insurance Company,MI,N/A,N/A,-1658184.03
37651,Health Alliance Plan (HAP),MI,5921541.69,5267035.16,-59049.89
59830,HealthPlus Insurance Company,MI,8257698.56,-3647377.54,-322954.15
13667,HealthPlus of Michigan,MI,1384234.63,-855252.76,-366651.02
62294,Humana Insurance Company,MI,698246.11,884115.01,-107913.09
46275,"Humana Medical Plan of Michigan, Inc.",MI,6808276.09,-25129449.51,N/A
79970,John Alden Life Insurance Company,MI,N/A,N/A,-155335.89
20393,McLaren Health Plan,MI,1865110.37,-275686.71,480378.3
58594,"Meridian Health Plan of Michigan, Inc.",MI,0,-23501.09,N/A
40047,"Molina Healthcare of Michigan, Inc.",MI,0,6332.08,N/A
59140,Nippon Life Insurance Company of America,MI,N/A,N/A,-29795.04
23592,Paramount Care of Michigan,MI,N/A,N/A,130383.94
95233,Paramount Insurance Company,MI,N/A,N/A,-53820.3
20662,PHP Insurance Company,MI,N/A,N/A,-127949.2
60829,Physicians Health Plan,MI,0,-76724.32,-681491.41
29698,Priority Health,MI,4982858.59,1058987.28,-1528301.43
29241,Priority Health Insurance Company (PHIC),MI,1980226.36,1869040.06,267097.25
89029,Time Insurance Company,MI,2196259.12,688700.17,-60605.89
67183,"Total Health Care USA, Inc.",MI,2025795.65,-1099668.46,-1225249.24
63631,UnitedHealthcare Insurance Company,MI,N/A,N/A,-1087425.35
45002,UnitedHealthcare Life Insurance Company,MI,1080097.07,-743360.22,-2483.96
58996,US Health and Life Insurance Company,MI,N/A,N/A,-2779.82
49316,"BCBSM, INC.",MN,109644843.7,7616924.44,11759377.1
60769,Federated Mutual Insurance Company,MN,N/A,N/A,-2090475.15
34102,"Group Health Plan, Inc.",MN,2695282.74,-2650.5,N/A
70373,"Gundersen Health Plan Minnesota, Inc.",MN,74310.37,32683.14,-97647.51
85654,HealthPartners Insurance Company,MN,10273153.62,-5217351.16,-820791.54
79888,"HealthPartners, Inc.",MN,1402532.92,2384614.4,-4200533.56
56971,John Alden Life Insurance Company,MN,2783.9,-46632.1,113761.56
65847,Medica Health Plans of Wisconsin,MN,2670519.49,130710.53,N/A
31616,Medica Insurance Company,MN,8295441.04,-11637872.8,-4213354.17
97624,PreferredOne Community Health Plan,MN,N/A,N/A,637606.26
88102,PreferredOne Insurance Company,MN,51337471.78,5422835.32,-1029344.47
52346,Sanford Health Plan of Minnesota,MN,N/A,N/A,-20085.39
27439,Time Insurance Company,MN,3434347.41,388993.92,-38513.1
85736,UCare Minnesota,MN,311887.29,927744.9,N/A
32898,Aetna Health Inc. (a PA corp.),MO,N/A,N/A,-10219.44
48161,Aetna Life Insurance Company,MO,N/A,N/A,228766.81
34762,Blue Cross and Blue Shield of Kansas City,MO,25923279.05,18053572.29,2682326.2
99723,Celtic Insurance Company,MO,0,-4177.67,N/A
44527,Coventry Health & Life Insurance Co.,MO,30510642.69,947089.73,N/A
44240,Coventry Health and Life,MO,36558693.78,-16394921.63,308569.39
96384,Cox Health Systems Insurance Company,MO,1265068.01,-173675.23,-164283.18
64701,Federated Mutual Insurance Company,MO,N/A,N/A,-752603.4
32753,Healthy Alliance Life Co(Anthem BCBS),MO,31718277.28,-5335441.08,-3154909.68
