HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
67879,UnitedHealthcare Insurance Company,CO,N/E,$-,18066220.34
74320,Humana Health Plan,CO,4384982.12,19133063.67,-1635879.75
76680,HMO Colorado Inc(Anthem BCBS),CO,6296226.19,-22957774.05,-5766680.60
79509,Humana Insurance Company,CO,164260.09,719860.70,621087.18
80208,Rocky Mountain HealthCare Options Inc,CO,N/E,$-,2715286.61
87269,Rocky Mountain Hos&Med Svc(Anthem BCBS),CO,27109001.49,43292191.96,947344.48
92137,All Savers Insurance Company,CO,129784.97,939139.28,$-
92291,UnitedHealthcare Life Insurance Company,CO,1059369.38,1604316.11,$-
97879,Rocky Mountain Health Maintenance Organization Inc,CO,8180224.47,10483559.33,-2943564.31
29462,"Oxford Health Insurance, Inc.",CT,N/E,$-,6196764.55
39159,Aetna Life Insurance Company,CT,1447448.75,789659.17,5293151.42
40591,Golden Rule Insurance Company,CT,721248.97,-418099.60,$-
49650,UnitedHealthcare Insurance Company,CT,1599327.73,2483964.33,-125543.67
71179,"Oxford Health Plans (CT), Inc.",CT,N/E,$-,-59675.40
75091,"ConnectiCare, Inc.",CT,49691.37,-1145321.71,-266957.78
76962,"ConnectiCare Benefits, Inc.",CT,14049522.77,-1673116.38,$-
85732,UnitedHealthcare Life Insurance Company,CT,518105.55,810976.08,$-
86545,Anthem Health Plans Inc(Anthem BCBS),CT,20499214.04,24193391.03,14278900.63
87354,Cigna Health and Life Insurance Company,CT,535710.84,1027304.78,$-
89130,"HPHC Insurance Company, Inc.",CT,N/E,$-,-14809373.05
91069,"HealthyCT, Inc.",CT,6340096.71,-745863.30,-7270795.39
94815,"ConnectiCare Insurance Company, Inc.",CT,11523325.35,-25322894.30,-3713490.75
95882,"Harvard Pilgrim Health Care of Connecticut, Inc.",CT,N/E,$-,477019.49
21066,"UnitedHealthcare of the Mid-Atlantic, Inc.",DC,N/E,$-,-208559.67
41842,UnitedHealthcare Insurance Company,DC,N/E,$-,-2167698.98
73987,Aetna Health Inc. (a PA corp.),DC,N/E,$-,-521995.34
75753,"Optimum Choice, Inc.",DC,N/E,$-,308133.57
77422,Aetna Life Insurance Company,DC,N/E,$-,-278383.82
78079,Group Hospitalization and Medical Services,DC,2918352.18,9810171.94,16753749.82
86052,CareFirst BlueChoice,DC,1167287.99,-7984910.32,-12225393.95
94506,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",DC,152397.44,-1825261.64,-1659851.69
29497,Aetna Life Insurance Company,DE,1002995.37,-617987.08,-609891.66
61021,UnitedHealthcare Insurance Company,DE,N/E,$-,-235174.40
67190,Aetna Health Inc. (a PA corp.),DE,343162.44,-1048438.16,89309.00
76168,Highmark BCBSD Inc.,DE,11767372.01,1665503.00,768074.20
81914,"Coventry Health Care of Delaware, Inc.",DE,0.00,$-,31586.04
89587,Golden Rule Insurance Company,DE,42201.07,922.26,$-
97569,"Optimum Choice, Inc.",DE,N/E,$-,-43903.22
16842,Blue Cross Blue Shield of FL Inc.,FL,126761966.46,464434259.85,24467625.00
17341,UnitedHealthcare Life Insurance Company,FL,6190397.67,3944039.65,$-
18628,Aetna Health Inc. (a FL corp.),FL,6467391.19,-19679828.24,6118081.67
19898,"AvMed, Inc",FL,4504028.34,-5705014.67,-7819786.24
21663,Celtic Insurance Company,FL,7217586.61,-160888837.15,$-
23841,Aetna Life Insurance Company,FL,184616.94,-1657914.80,2505152.50
27357,Health First Health Plans,FL,3159908.04,1792502.93,-1024411.33
30252,"Health Options, Inc.",FL,38308523.89,-6728057.44,-14039797.34
35783,"Humana Medical Plan, Inc.",FL,73556881.87,-1588085.51,-8475356.54
40442,Freedom Life Insurance Company of America,FL,92026.59,173446.74,$-
42204,All Savers Insurance Company,FL,N/E,$-,-130253.39
43839,UnitedHealthcare Insurance Company,FL,N/E,$-,5443321.07
48121,Cigna Health and Life Insurance Company,FL,4687309.64,11336832.52,$-
54172,"Molina Healthcare of Florida, Inc.",FL,25476629.62,-252569063.08,$-
56503,"Florida Health Care Plan, Inc",FL,3533832.47,-11167504.61,-790753.33
57451,"Coventry Health Care of Florida, Inc.",FL,28788522.60,-112203006.16,-13019.42
66966,Capital Health Plan,FL,N/E,$-,1417443.48
68398,"UnitedHealthcare of Florida, Inc.",FL,35522703.08,93698886.73,-6990459.62
77150,Health First Insurance,FL,0.00,$-,-315764.28
80779,"Neighborhood Health Partnership, Inc.",FL,N/E,$-,-241201.26
83883,Florida Health Solution HMO Company,FL,0.00,-247811.02,$-
99308,"Humana Health Insurance Co of FL, Inc.",FL,380796.07,-2944845.74,-110820.97
12442,Nippon Life Insurance Company of America,GA,N/E,$-,63937.58
13535,UnitedHealthcare Insurance Company,GA,N/E,$-,2215054.29
24775,Celtic Insurance Company,GA,0.00,-1334.54,$-
30552,UnitedHealthcare Insurance Company of the River Valley,GA,N/E,$-,-5376525.71
37001,Humana Insurance Company,GA,0.00,-131960.47,644608.47
38835,Federated Mutual Insurance Company,GA,N/E,$-,717318.50
43802,"UnitedHealthcare of Georgia, Inc.",GA,10095250.90,26478561.73,-378394.27
49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,31779370.22,-26403372.35,1830323.65
50491,Cigna Health and Life Insurance Company,GA,1923749.48,-770019.98,$-
63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,N/E,$-,2429075.84
65890,Coventry Health and Life,GA,N/E,$-,-33628.54
70893,Ambetter of Peach State,GA,3618457.84,-76682881.13,$-
72796,Freedom Life Insurance Company of America,GA,0.00,-5238.21,$-
74189,UnitedHealthcare Life Insurance Company,GA,380604.01,368431.18,$-
82302,Kaiser Permanente Insurance Company,GA,N/E,$-,-12680.30
82824,Aetna Health Inc. (a GA corp.),GA,12594972.21,-49061684.16,-5012021.19
83761,Alliant Health Plans,GA,4838655.10,6096822.55,-246485.61
83978,Aetna Life Insurance Company,GA,7209783.66,-7286899.98,11869948.22
89942,"Kaiser Foundation Health Plan of Georgia, Inc.",GA,6557804.67,-16261579.31,-2129295.27
93332,"Humana Employers Health Plan of Georgia, Inc.",GA,91484441.32,143941804.74,-6580193.74
95852,Harken Health Insurance Company,GA,3731952.84,-280650.18,-1041.78
14479,Family Health Hawaii mbs,HI,N/E,$-,-939110.78
18350,Hawaii Medical Service Association,HI,10348585.13,16511893.78,11809305.09
54179,UnitedHealthcare Insurance Company,HI,N/E,$-,11551.76
56682,Hawaii Medical Assurance Association,HI,N/E,$-,65520.51
60612,"Kaiser Foundation Health Plan, Inc.",HI,2908866.08,-16511893.77,-7404335.42
95366,University Health Alliance,HI,N/E,$-,-3542931.19
18973,Aetna Health Inc. (a IA corp.),IA,8633362.73,-10630845.15,-547628.54
25896,"Wellmark Health Plan of Iowa, Inc",IA,809644.81,-5781185.31,-3821568.70
27651,"Gundersen Health Plan, Inc.",IA,129669.29,365003.85,-143577.92
41397,Federated Mutual Insurance Company,IA,N/E,$-,296594.53
50735,Medical Associates Health Plans,IA,N/E,$-,197922.92
51474,Pekin Life Insurance Company,IA,N/E,$-,-235836.64
51820,Coventry Health and Life,IA,N/E,$-,-1783.49
51902,"UnitedHealthcare of the Midlands, Inc.",IA,2982254.78,-2226287.05,$-
56610,"UnitedHealthcare Plan of the River Valley, Inc.",IA,N/E,$-,697193.19
72160,"Wellmark, Inc",IA,10380245.12,18333352.61,4987083.29
74980,"Avera Health Plans, Inc.",IA,68679.80,248195.33,-83219.11
77638,"Health Alliance Midwest, Inc.",IA,N/E,$-,-31283.34
81839,UnitedHealthcare Life Insurance Company,IA,119924.56,-248705.20,$-
85930,Sanford Health Plan,IA,0.00,$-,-48830.67
88678,UnitedHealthcare Insurance Company,IA,N/E,$-,-1265065.53
93078,Medica Insurance Company,IA,559351.02,-59528.99,$-
26002,SelectHealth,ID,12396300.65,2728291.54,-1742435.08
38128,Montana Health Cooperative,ID,2870073.66,-8100585.26,-189468.28
43541,National Health Insurance Company,ID,N/E,$-,-211403.47
44648,Regence Blue Shield of Idaho,ID,764325.42,-319665.28,-1115977.31
50118,UnitedHealthcare Insurance Company,ID,N/E,$-,139603.64
59765,BridgeSpan Health Company (ID),ID,1020878.60,-6574515.53,$-
60597,PacificSource Health Plans,ID,38751.09,303111.16,-116759.35
61175,Altius Health Plans Inc.,ID,N/E,$-,110858.26
61589,Blue Cross of Idaho,ID,14007899.33,11963363.34,3125581.67
16724,"UnitedHealthcare of the Midwest, Inc.",IL,2237882.20,-2438597.21,$-
18389,Pekin Life Insurance Company,IL,N/E,$-,-303027.88
20129,"Health Alliance Medical Plans, Inc.",IL,10389731.85,1925800.26,572733.12
24301,Medical Associates Health Plans,IL,N/E,$-,-171931.50
27833,Celtic Insurance Company,IL,378771.57,-61352776.51,$-
34446,UnitedHealthcare Insurance Company of the River Valley,IL,N/E,$-,632447.67
35670,Coventry Health and Life,IL,2361904.97,2420350.88,359296.65
36096,Blue Cross Blue Shield of Illinois,IL,108205116.56,36348043.52,6244224.14
42529,"UnitedHealthcare of Illinois, Inc.",IL,N/E,$-,-547051.46
53586,Nippon Life Insurance Company of America,IL,N/E,$-,-182.34
58239,"UnitedHealthcare Plan of the River Valley, Inc.",IL,N/E,$-,-646169.48
58288,"Humana Health Plan, Inc.",IL,889216.13,1493121.70,-2268324.01
66143,Federated Mutual Insurance Company,IL,N/E,$-,-343024.90
66303,UnitedHealthcare Life Insurance Company,IL,660431.60,904689.42,$-
68303,Humana Insurance Company,IL,0.00,$-,2376088.32
72547,Aetna Life Insurance Company,IL,2158123.97,-7044744.34,1102953.11
78463,Harken Health Insurance Company,IL,12226130.79,19685102.97,-13530.38
79763,Land of Lincoln Mutual Health Insurance Company,IL,9157710.03,-11963347.32,-9752011.63
82506,Freedom Life Insurance Company of America,IL,0.00,48327.14,$-
92476,UnitedHealthcare Insurance Company of Illinois,IL,N/E,$-,2021972.27
96601,"Coventry Health Care of Illinois, Inc.",IL,14270273.67,35950670.67,728924.09
99129,Aetna Health Inc. (a PA corp.),IL,1221767.25,-15976640.99,6614.37
11104,Federated Mutual Insurance Company,IN,N/E,$-,505888.05
17575,Anthem Ins Companies Inc(Anthem BCBS),IN,24145897.47,23453648.50,11000596.02
20855,"Advantage Health Solutions, Inc.",IN,N/E,$-,-146514.00
32378,Aetna Life Insurance Company,IN,N/E,$-,-325097.82
33380,"Indiana University Health Plans, Inc",IN,3082188.68,-38452436.14,-375536.06
36373,All Savers Insurance Company,IN,11167169.27,33816665.08,5460.99
43070,UnitedHealthcare Life Insurance Company,IN,10046546.69,-3573506.68,$-
43442,Humana Health Plan,IN,N/E,$-,63336.28
50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,2286473.37,-2126520.47,-124000.57
54192,"CareSource Indiana, Inc",IN,3002557.32,-15288511.46,$-
62033,MDwise Marketplace Inc.,IN,6092060.35,-457849.10,$-
67920,Southeastern Indiana Health Organization,IN,40069.71,-583807.56,-633214.19
72850,UnitedHealthcare Insurance Company,IN,N/E,$-,-10746407.83
76179,Celtic Insurance Company,IN,2148267.03,3089884.00,$-
79828,Pekin Life Insurance Company,IN,N/E,$-,-285888.78
98761,Nippon Life Insurance Company of America,IN,N/E,$-,-107606.64
99791,Humana Insurance Company,IN,6361.47,122433.72,1168984.38
18558,"Blue Cross and Blue Shield of Kansas, Inc",KS,11808950.32,31581487.09,-649337.25
19968,Humana Insurance Company,KS,0.00,1652.45,2126319.62
27811,"Blue Cross and Blue Shield of Kansas, Inc",KS,9049900.15,-25030909.74,-1212849.04
34368,Celtic Insurance Company,KS,0.00,9128.22,$-
41446,UnitedHealthcare Life Insurance Company,KS,92547.10,-134489.36,$-
49857,"Humana Health Plan, Inc.",KS,N/E,$-,-32854.53
50274,"UnitedHealthcare of the Midwest, Inc.",KS,2190404.93,-6918671.85,$-
54822,Freedom Life Insurance Company of America,KS,0.00,-334.95,$-
57850,Aetna Health Inc. (a PA corp.),KS,N/E,$-,-738798.19
61430,Coventry Health and Life,KS,3045695.42,-11830329.41,-14621.47
65598,Coventry Health Care,KS,525206.15,-2303279.85,-618249.46
84600,Aetna Life Insurance Company,KS,N/E,$-,190344.76
94248,Blue Cross and Blue Shield of Kansas City,KS,10536962.27,14625747.47,1720681.91
94968,UnitedHealthcare Insurance Company,KS,N/E,$-,-164494.80
96352,Federated Mutual Insurance Company,KS,N/E,$-,-606141.63
15411,"Humana Health Plan, Inc.",KY,3650974.52,4158571.20,-2971979.56
23671,"UnitedHealthcare of Kentucky, Ltd.",KY,925945.86,3445308.96,-2631108.88
28773,UnitedHealthcare Insurance Company,KY,N/E,$-,-222329.46
34822,Aetna Health Inc. (a PA corp.),KY,1881.63,-1109860.03,$-
36239,Anthem Health Plans of KY(Anthem BCBS),KY,18494891.83,6598201.98,7952464.11
40586,Bluegrass Family Health,KY,945747.27,-9882852.36,-1696866.11
45636,CareSource Kentucky Co.,KY,954253.69,-6276507.50,$-
45920,"UnitedHealthcare of Ohio, Inc.",KY,N/E,$-,-430179.98
47949,Golden Rule Insurance Company,KY,125485.16,-458879.82,$-
56744,UnitedHealthcare Life Insurance Company,KY,783885.23,3947860.40,$-
72001,"WELLCARE HEALTH PLANS OF KENTUCKY, INC",KY,81208.69,-421842.76,$-
14030,Aetna Life Insurance Company,LA,N/E,$-,123351.62
19636,"HMO Louisiana, Inc.",LA,11110876.79,-46288576.05,-1630163.09
19913,Freedom Life Insurance Company of America,LA,84736.66,107216.79,$-
22381,Coventry Health and Life,LA,N/E,$-,-113751.90
38499,"UnitedHealthcare of Louisiana, Inc.",LA,9458361.87,-6169146.20,847159.64
44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,4491146.79,-32450558.97,-6832225.23
53946,UnitedHealthcare Insurance Company of the River Va,LA,N/E,$-,-94119.45
66593,UnitedHealthcare Life Insurance Company,LA,105487.33,-1690229.40,$-
67243,Vantage Health Plan,LA,3635462.07,-9974637.20,206362.72
69842,UnitedHealthcare Insurance Company,LA,N/E,$-,-1019726.31
81941,Aetna Health Inc. (a LA corp.),LA,664684.81,-6121430.71,-644489.03
93653,All Savers Insurance Company,LA,N/E,$-,-1098.79
97176,Louisiana Health Service & Indemnity Company,LA,27115074.86,102587361.66,9158699.82
24675,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,82290.16,N/A_MA_Issuer,N/A_MA_Issuer
29125,Tufts Associated Health Maintenance Organization Inc.,MA,5199875.77,N/A_MA_Issuer,N/A_MA_Issuer
31234,CeltiCare Health Plan of Massachusetts,MA,1877.17,N/A_MA_Issuer,N/A_MA_Issuer
31779,UnitedHealthcare Insurance Company,MA,284246.24,N/A_MA_Issuer,N/A_MA_Issuer
34484,Health New England,MA,1201283.84,N/A_MA_Issuer,N/A_MA_Issuer
36046,Harvard Pilgrim Health Care Inc.,MA,4809705.87,N/A_MA_Issuer,N/A_MA_Issuer
38712,Tufts Associated Health Maintenance Organization Inc.,MA,421450.61,N/A_MA_Issuer,N/A_MA_Issuer
41304,"Neighborhood Health Plan, Inc",MA,16412212.24,N/A_MA_Issuer,N/A_MA_Issuer
42690,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",MA,17178148.51,N/A_MA_Issuer,N/A_MA_Issuer
52710,Fallon Life and Health Assurance Co,MA,62239.08,N/A_MA_Issuer,N/A_MA_Issuer
59763,"Tufts Health Public Plans, Inc.",MA,4141413.43,N/A_MA_Issuer,N/A_MA_Issuer
73331,"Minuteman Health, Inc.",MA,368156.26,N/A_MA_Issuer,N/A_MA_Issuer
82569,"Boston Medical Center Health Plan, Inc.",MA,1568492.99,N/A_MA_Issuer,N/A_MA_Issuer
88806,Fallon Community Health Plan,MA,915565.55,N/A_MA_Issuer,N/A_MA_Issuer
88950,ConnectiCare of Massachusetts Inc.,MA,0.00,N/A_MA_Issuer,N/A_MA_Issuer
95878,HPHC Insurance Company Inc.,MA,2766034.85,N/A_MA_Issuer,N/A_MA_Issuer
14468,"Coventry Health Care of Delaware, Inc.",MD,N/E,$-,-454038.82
23620,UnitedHealthcare Insurance Company,MD,N/E,$-,-1895792.87
28137,CareFirst BlueChoice,MD,30916285.31,-9848840.41,-6824378.98
31112,"UnitedHealthcare of the Mid-Atlantic, Inc.",MD,1196462.13,-4726063.80,-2228250.33
32812,Cigna Health and Life Insurance Company,MD,456704.97,1770732.37,$-
36677,All Savers Insurance Company,MD,576817.20,1316533.03,$-
45532,CareFirst of Maryland,MD,9220852.27,21010173.45,9161612.58
65635,MAMSI Life and Health Insurance Company,MD,N/E,$-,-2805605.00
66516,Aetna Health Inc. (a PA corp.),MD,N/E,$-,-1109601.09
68541,Coventry Health and Life,MD,N/E,$-,-540405.53
70767,Aetna Life Insurance Company,MD,N/E,$-,-904266.78
72375,"Optimum Choice, Inc.",MD,N/E,$-,-2947755.59
72564,Evergreen Health,MD,2540644.79,1224227.52,-10613469.40
90296,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",MD,3816924.66,-29417473.49,2554219.07
94084,Group Hospitalization and Medical Services,MD,7161965.94,18670711.32,18607732.84
11593,HPHC Insurance Company Inc.,ME,353431.61,617069.84,2126973.99
33653,Maine Community Health Options,ME,17217074.37,5309414.63,-1592009.09
48396,Anthem Health Plans of ME(Anthem BCBS),ME,3475090.31,-5023772.82,1897677.07
53357,Aetna Life Insurance Company,ME,N/E,$-,713025.50
73250,Aetna Health Inc. (a ME corp.),ME,92757.12,-370234.08,-154409.60
90214,UnitedHealthcare Insurance Company,ME,N/E,$-,21880.11
96667,Harvard Pilgrim Health Care Inc.,ME,2922966.87,-532477.48,-3013138.00
13667,HealthPlus Insurance Company,MI,19784.98,-1118038.80,-113837.62
15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,45860204.98,117279775.33,27642465.18
20393,McLaren Health Plan,MI,N/E,$-,-305892.99
20662,PHP Insurance Company,MI,N/E,$-,511519.60
29241,Priority Health,MI,3777289.50,5900733.25,1298105.46
29698,Priority Health,MI,14623284.20,-34476293.74,-2495450.95
34620,"Harbor Health Plan, Inc.",MI,97137.52,-2957260.83,$-
37651,Health Alliance Plan of Michigan,MI,1323374.09,-3617941.82,-1055785.01
40047,"Molina Healthcare of Michigan, Inc.",MI,103321.22,-1474611.65,$-
45002,UnitedHealthcare Life Insurance Company,MI,402490.39,-1058410.43,-1115.68
46275,"Humana Medical Plan of Michigan, Inc.",MI,3265248.40,-19477061.31,$-
52670,All Savers Insurance Company,MI,N/E,$-,-73743.09
58594,"Meridian Health Plan of Michigan, Inc.",MI,0.00,-4071093.14,$-
59140,Nippon Life Insurance Company of America,MI,N/E,$-,-39510.72
60829,Physicians Health Plan,MI,188284.13,-3011163.79,-1332750.39
62294,Humana Insurance Company,MI,597264.23,282976.78,-442791.40
63631,UnitedHealthcare Insurance Company,MI,N/E,$-,-1938501.49
67183,Total Health Care,MI,473367.52,2404013.29,911860.92
67577,Alliance Health & Life Insurance Co,MI,3461031.71,2973919.75,-1080248.95
71667,"UnitedHealthcare Community Plan, Inc.",MI,352525.33,167256.82,$-
74917,McLaren Health Plan,MI,397952.91,1946788.76,-788901.32
81068,Aetna Life Insurance Company,MI,526251.20,-1407174.88,$-
82649,Federated Mutual Insurance Company,MI,N/E,$-,-1167684.94
95233,Paramount Insurance Company,MI,N/E,$-,375049.38
98185,Blue Care Network of Michigan,MI,19430303.42,-58286413.44,-19902786.04
31616,Medica Insurance Company,MN,1837669.52,-5073958.40,9613665.25
34102,Group Health Plan Inc,MN,3025814.22,-17682308.21,$-
49316,BCBSMN INC,MN,53825959.36,109756214.54,18652345.56
52346,Sanford Health Plan of Minnesota,MN,N/E,$-,-55346.10
57129,HMO Minnesota,MN,2455375.64,-6343423.56,-453720.09
60769,Federated Mutual Insurance Company,MN,N/E,$-,-5042388.92
65847,Medica Health Plans of Wisconsin,MN,10897237.25,-13675777.86,$-
70373,"Gundersen Health Plan Minnesota, Inc.",MN,N/E,$-,-58727.84
79888,"HealthPartners, Inc",MN,N/E,$-,-13565960.64
85654,HealthPartners Insurance Company,MN,6932266.01,-55107410.50,-2487209.58
85736,UCare Minnesota,MN,1552756.08,-16539135.00,$-
88102,PreferredOne Insurance Company,MN,1189854.34,4665798.89,-5741279.42
97624,PreferredOne Community Health Plan,MN,N/E,$-,-861378.17
14162,UnitedHealthcare Life Insurance Company,MO,1399839.02,-4769647.33,$-
16049,All Savers Insurance Company,MO,9988746.15,4425402.77,$-
30613,Humana Insurance Company,MO,2133913.47,-10432560.76,-6322781.87
32753,Healthy Alliance Life Co(Anthem BCBS),MO,13135205.16,-2324559.37,2366744.33
32898,Aetna Health Inc. (a PA corp.),MO,N/E,$-,-7048.39
34762,Blue Cross and Blue Shield of Kansas City,MO,15688168.11,16722536.07,1407580.23
44240,Coventry Health and Life,MO,12224324.59,-4108462.62,-25221.44
44527,Coventry Health and Life,MO,12858595.97,24671526.20,472459.61
48161,Aetna Life Insurance Company,MO,0.00,$-,-208051.89
64701,Federated Mutual Insurance Company,MO,N/E,$-,-2615175.44
74483,Cigna Health and Life Insurance Company,MO,2891127.82,-20562221.68,$-
95426,UnitedHealthcare Insurance Company,MO,N/E,$-,6325614.34
96384,Cox HealthPlans,MO,1399376.40,-3684258.43,-1394119.54
99723,Celtic Insurance Company,MO,22536.76,62245.22,$-
11721,Blue Cross Blue Shield of Mississippi,MS,4413878.60,-14760.32,-241806.75
26781,All Savers Insurance Company,MS,N/E,$-,-134468.89
38420,Federated Mutual Insurance Company,MS,N/E,$-,351118.53
48963,Humana Insurance Company,MS,6980708.93,9062010.42,-202527.52
61794,UnitedHealthcare Life Insurance Company,MS,433070.62,-943059.23,-98160.48
83808,Coventry Health and Life,MS,N/E,$-,-47174.80
90714,Ambetter of Magnolia,MS,5387101.04,-15087320.89,$-
96734,Freedom Life Insurance Company of America,MS,4738.44,261.36,$-
