,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL NONCATASTROPHIC RISK POOL),HHS RISK ADJUSTMENT TRANSFER AMOUNT (CATASTROPHIC RISK POOL),HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP RISK POOL)
73,71179,"UnitedHealth Group, Inc.",CT,$-,$-,"($144,694.33)"
74,75091,"ConnectiCare, Inc.",CT,"($203,668.61)",$-,"$14,877.22"
75,76962,"ConnectiCare, Inc.",CT,"($11,984,032.56)","($65,803.71)",$-
76,86545,"Anthem, Inc.",CT,"$14,076,814.79","$77,427.82","$3,667,865.78"
77,87354,Cigna,CT,"$1,281,052.22",$-,$-
78,89130,"HPHC Insurance Company, Inc",CT,$-,$-,"($8,968,585.94)"
79,94815,"ConnectiCare, Inc.",CT,"($4,118,346.92)",$-,"($5,570,057.74)"
80,95882,"HPHC Insurance Company, Inc",CT,$-,$-,"($194,622.18)"
81,21066,"UnitedHealth Group, Inc.",DC,$-,$-,"($472,015.89)"
82,41842,"UnitedHealth Group, Inc.",DC,$-,$-,"$1,562,031.69"
83,73987,"Aetna, Inc.",DC,$-,$-,"$154,887.96"
84,75753,"UnitedHealth Group, Inc.",DC,$-,$-,"($627,818.41)"
85,77422,"Aetna, Inc.",DC,$-,$-,"($533,232.20)"
86,78079,CareFirst,DC,"$6,500,181.23",$-,"$10,874,396.62"
87,86052,CareFirst,DC,"($3,723,041.82)","$2,142.18","($9,350,612.52)"
88,94506,Kaiser Permanente,DC,"($2,777,139.42)","($2,142.18)","($1,607,637.27)"
89,29497,"Aetna, Inc.",DE,"($595,457.11)",$-,"($1,014,864.19)"
90,61021,"UnitedHealth Group, Inc.",DE,$-,$-,"($444,816.07)"
91,67190,"Aetna, Inc.",DE,"($2,660,555.55)",$-,"$923,437.73"
92,76168,Highmark,DE,"$3,336,393.06",$0.00,"$696,498.63"
93,89587,"UnitedHealth Group, Inc.",DE,"($80,380.41)",$-,$-
94,97569,"UnitedHealth Group, Inc.",DE,$-,$-,"($160,256.14)"
95,16842,Blue Cross and Blue Shield of Florida,FL,"$666,342,217.61",$-,"$19,195,173.11"
96,18628,"Aetna, Inc.",FL,"$504,174.05","$3,291.40","$11,932,273.20"
97,19898,"AvMed, Inc.",FL,"($12,556,467.84)",$-,"$801,626.31"
98,21663,Centene Corporation,FL,"($298,557,758.47)",$-,$-
99,23841,"Aetna, Inc.",FL,"$4,120,333.01",$-,"$2,358,859.29"
100,30252,Blue Cross and Blue Shield of Florida,FL,"($49,062,378.52)",$-,"($18,541,996.03)"
101,35783,"Humana, Inc.",FL,"$25,090,635.59","$281,746.71","($11,862,572.41)"
102,36194,"Health First, Inc.",FL,"$9,690,044.27","($187,145.21)","($1,751,296.18)"
103,40442,US Health Group,FL,"$164,128.35",$-,$-
104,42204,"UnitedHealth Group, Inc.",FL,$-,$-,"($114,840.94)"
105,43839,"UnitedHealth Group, Inc.",FL,$-,$-,"$5,273,063.15"
106,48121,Cigna,FL,"$5,272,866.93",$-,$-
107,54172,Molina Healthcare,FL,"($344,043,435.16)",$-,$-
108,56503,"Florida Health Care Plan, Inc.",FL,"($5,552,422.56)","($97,892.89)","($1,611,145.68)"
109,57451,"Aetna, Inc.",FL,"($2,054,259.40)",$-,$-
110,66966,Capital Health Plan,FL,$-,$-,"($237,935.62)"
111,68398,"UnitedHealth Group, Inc.",FL,"$642,322.46",$-,"($1,823,207.54)"
112,77150,"Health First, Inc.",FL,$-,$-,"$774,154.89"
113,80779,"UnitedHealth Group, Inc.",FL,$-,$-,"($4,192,749.99)"
114,99308,"Humana, Inc.",FL,$-,$-,"($199,405.64)"
115,12442,Nippon Life Benefits,GA,$-,$-,"$224,509.54"
116,13535,"UnitedHealth Group, Inc.",GA,$-,$-,"$2,042,988.05"
117,30552,"UnitedHealth Group, Inc.",GA,$-,$-,"($4,149,929.77)"
118,37001,"Humana, Inc.",GA,$-,$-,"$542,258.43"
119,38835,Federated Mutual,GA,$-,$-,"($111,539.18)"
120,43802,"UnitedHealth Group, Inc.",GA,"$113,966.83",$-,"$991,363.39"
121,49046,"Anthem, Inc.",GA,"$47,890,056.76","($831,656.66)","$8,334,877.82"
122,50491,Cigna,GA,"($1,249,083.97)",$-,$-
123,63411,"Anthem, Inc.",GA,$-,$-,"$707,351.80"
124,70893,Centene Corporation,GA,"($60,110,112.97)",$-,$-
125,82302,Kaiser Permanente,GA,$-,$-,"$12,306.97"
126,82824,"Aetna, Inc.",GA,"($2,889,649.91)",$-,"$426,428.16"
127,83761,Alliant Health Plans,GA,"$27,505,745.34",$-,"$710,630.46"
128,83978,"Aetna, Inc.",GA,"$3,737,745.83",$-,"$10,449,185.82"
129,89942,Kaiser Permanente,GA,"($21,666,714.42)","$221,373.55","($3,750,814.09)"
130,93332,"Humana, Inc.",GA,"$5,988,178.81","$610,283.11","($16,404,683.09)"
131,95852,"UnitedHealth Group, Inc.",GA,"$679,867.71",$-,"($24,934.27)"
132,18350,Hawaii Medical Service Association,HI,"$25,998,454.64",$0.00,"$14,313,880.24"
133,54179,"UnitedHealth Group, Inc.",HI,$-,$-,"$2,583.24"
134,56682,Hawaii Medical Assurance Association,HI,$-,$-,"($111,183.83)"
135,60612,Kaiser Permanente,HI,"($25,998,454.63)",$-,"($11,879,869.65)"
136,95366,University Health Alliance [UHA],HI,$-,$-,"($2,325,409.97)"
137,18973,"Aetna, Inc.",IA,"($11,142,633.62)","($154,460.80)","($448,020.13)"
138,25896,"Wellmark, Inc.",IA,"$799,924.59",$-,"($874,643.55)"
139,27651,Quartz Health Solutions,IA,"($661,826.98)","($3,310.46)","($106,991.78)"
140,41397,Federated Mutual,IA,$-,$-,"($642,170.51)"
141,50735,Medical Associates Health Plans,IA,$-,$-,"$237,745.57"
142,51474,Pekin Life Insurance Company,IA,$-,$-,"($73,617.11)"
143,56610,"UnitedHealth Group, Inc.",IA,$-,$-,"$414,993.95"
144,72160,"Wellmark, Inc.",IA,"$10,322,659.48",$-,"$3,386,559.75"
145,74406,"Wellmark, Inc.",IA,"($431,036.41)",$-,"($400,870.42)"
146,74980,"Avera Health Plans, Inc.",IA,$-,$-,"$111,050.48"
147,77638,"Health Alliance Medical Plans, Inc.",IA,$-,$-,"($34,436.34)"
148,78252,"Aetna, Inc.",IA,$-,$-,"($106,451.56)"
149,85930,Sanford Health Plan,IA,$-,$-,"($52,263.31)"
150,87928,"Wellmark, Inc.",IA,"($406,804.09)",$-,"($237,880.07)"
151,88678,"UnitedHealth Group, Inc.",IA,$-,$-,"($1,173,004.93)"
152,93078,Medica Insurance Company,IA,"$1,519,717.15","$157,771.27",$-
153,26002,SelectHealth,ID,"$7,551,524.90","$128,202.40","($238,815.95)"
154,38128,Montana Health Cooperative,ID,"($9,609,851.76)","($220,730.62)","($120,655.28)"
155,43541,National Health Insurance Company,ID,$-,$-,"($276,891.35)"
156,44648,Cambia Health Solutions,ID,"$729,602.33",$-,"$2,293,255.45"
157,45059,"Aetna, Inc.",ID,$-,$-,"($10,101.50)"
158,50118,"UnitedHealth Group, Inc.",ID,$-,$-,"$1,625.12"
159,59765,Cambia Health Solutions,ID,"($4,297,893.26)",$-,$-
160,60597,PacificSource Health Plans,ID,"$3,063,266.71","($40,488.63)","($1,864,614.35)"
161,61175,"Aetna, Inc.",ID,$-,$-,"$135,535.65"
162,61589,"Blue Cross of Idaho Health Service, Inc.",ID,"$2,563,351.03","$133,016.84","$80,662.21"
163,18389,Pekin Life Insurance Company,IL,$-,$-,"($137,667.78)"
164,20129,"Health Alliance Medical Plans, Inc.",IL,"($11,663,474.42)","($78,603.46)","($1,292,207.35)"
165,24301,Medical Associates Health Plans,IL,$-,$-,"$56,930.97"
166,27833,Centene Corporation,IL,"($77,760,248.04)",$-,$-
167,34446,"UnitedHealth Group, Inc.",IL,$-,$-,"$711,640.34"
168,35670,"Aetna, Inc.",IL,"$806,358.56",$-,"($168,289.40)"
169,36096,Health Care Service Corporation,IL,"$145,478,236.18","$65,358.61","$6,201,452.87"
170,42529,"UnitedHealth Group, Inc.",IL,$-,$-,"($2,457,421.07)"
171,53882,Cigna,IL,"($53,357,618.05)",$-,$-
172,54322,MercyCare Insurance Company,IL,$-,$-,"($110,789.80)"
173,58239,"UnitedHealth Group, Inc.",IL,$-,$-,"($1,315,014.25)"
174,58288,"Humana, Inc.",IL,"($2,473,593.04)","$13,244.83","($1,685,150.33)"
175,66143,Federated Mutual,IL,$-,$-,"($2,017,781.03)"
176,68303,"Humana, Inc.",IL,$-,$-,"$7,796.46"
177,72547,"Aetna, Inc.",IL,"$15,187.22",$-,"$2,648,862.56"
178,78463,"UnitedHealth Group, Inc.",IL,"($461,475.84)",$-,"($151,696.14)"
179,82506,US Health Group,IL,"$254,252.40",$-,$-
180,92476,"UnitedHealth Group, Inc.",IL,$-,$-,"$78,898.64"
181,96601,"Aetna, Inc.",IL,"$868,303.50",$-,"$38,569.24"
182,99129,"Aetna, Inc.",IL,"($1,705,928.50)",$-,"($408,133.93)"
183,11104,Federated Mutual,IN,$-,$-,"$851,008.13"
184,17575,"Anthem, Inc.",IN,"$46,155,733.81",$0.00,"$7,413,866.40"
185,32378,"Aetna, Inc.",IN,$-,$-,"($247,035.83)"
186,33380,Indiana University Health,IN,"($8,594,425.99)",$-,"($649,334.41)"
187,36373,"UnitedHealth Group, Inc.",IN,"$125,632.53",$-,"$249,036.85"
188,43442,"Humana, Inc.",IN,$-,$-,"($161,650.57)"
189,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,$-,$-,"($1,565,817.43)"
190,54192,CareSource,IN,"($15,998,467.00)",$-,$-
191,62033,MDwise,IN,"$5,435,307.07",$-,$-
192,72850,"UnitedHealth Group, Inc.",IN,$-,$-,"($6,119,832.00)"
193,76179,Centene Corporation,IN,"($27,123,780.39)",$-,$-
194,79828,Pekin Life Insurance Company,IN,$-,$-,"($61,075.00)"
195,96992,"Aetna, Inc.",IN,$-,$-,"($15,458.23)"
196,99791,"Humana, Inc.",IN,$-,$-,"$306,292.27"
197,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,"$8,529,904.66",$-,"($1,394,664.85)"
198,19968,"Humana, Inc.",KS,$-,$-,"$1,327,962.27"
199,27811,"Blue Cross and Blue Shield of Kansas, Inc.",KS,"($19,756,554.76)",$-,"($1,970,523.23)"
200,39520,Medica Insurance Company,KS,"$8,197,651.06","$217,292.28",$-
201,49857,"Humana, Inc.",KS,$-,$-,"$367,312.94"
202,57850,"Aetna, Inc.",KS,$-,$-,"($78,377.66)"
203,61430,"Aetna, Inc.",KS,"($167,200.33)",$-,$-
204,65598,"Aetna, Inc.",KS,"$143,993.50",$-,$-
205,84600,"Aetna, Inc.",KS,"($79,236.89)",$-,"$198,720.74"
206,94248,Blue Cross and Blue Shield of Kansas City,KS,"$3,131,442.74","($217,292.29)","($225,128.83)"
207,94968,"UnitedHealth Group, Inc.",KS,$-,$-,"$2,137,648.09"
208,96352,Federated Mutual,KS,$-,$-,"($362,949.52)"
209,15411,"Humana, Inc.",KY,"$444,123.60","($101,817.11)","($754,945.32)"
210,23671,"UnitedHealth Group, Inc.",KY,"$29,230.72",$-,"($2,775,937.89)"
211,28773,"UnitedHealth Group, Inc.",KY,$-,$-,"$55,109.62"
212,34822,"Aetna, Inc.",KY,"($182,910.40)",$-,"($10,396.35)"
213,36239,"Anthem, Inc.",KY,"$10,657,590.47","($54,832.40)","$5,247,388.21"
214,40586,Baptist Health Plan,KY,$-,$-,"($1,352,232.72)"
215,45636,CareSource,KY,"($11,176,017.97)","$156,649.50",$-
216,45920,"UnitedHealth Group, Inc.",KY,$-,$-,"($408,985.74)"
217,47949,"UnitedHealth Group, Inc.",KY,"$227,983.57",$-,$-
218,14030,"Aetna, Inc.",LA,$-,$-,"$172,687.57"
219,19636,Blue Cross Blue Shield of Louisiana,LA,"($53,282,415.08)",$-,"($6,522,359.29)"
220,22381,"Aetna, Inc.",LA,$-,$-,"($4,874.45)"
221,38499,"UnitedHealth Group, Inc.",LA,"$354,326.24",$-,"$324,017.56"
222,44965,"Humana, Inc.",LA,"($34,530,601.67)",$0.00,"($4,426,481.25)"
223,53946,"UnitedHealth Group, Inc.",LA,$-,$-,"($827,048.55)"
224,67243,"Vantage Health Plan, Inc.",LA,"($1,189,558.38)",$-,"($38,945.89)"
225,69842,"UnitedHealth Group, Inc.",LA,$-,$-,"($837,243.34)"
226,81941,"Aetna, Inc.",LA,"($402,292.63)",$-,"($27,929.35)"
227,97176,Blue Cross Blue Shield of Louisiana,LA,"$89,050,541.52",$-,"$12,188,176.95"
228,23620,"UnitedHealth Group, Inc.",MD,$-,$-,"($1,665,593.79)"
229,28137,CareFirst,MD,"$3,194,767.04","($166,411.99)","($12,502,768.73)"
230,32812,Cigna,MD,"$1,904,523.01",$-,$-
231,31112,"UnitedHealth Group, Inc.",MD,"$14,452.71",$-,"($3,589,322.07)"
232,45532,CareFirst,MD,"$40,089,507.39",$-,"$13,744,600.35"
233,65635,"UnitedHealth Group, Inc.",MD,$-,$-,"($491,443.80)"
234,66516,"Aetna, Inc.",MD,$-,$-,"$2,376,609.74"
235,70767,"Aetna, Inc.",MD,$-,$-,"$1,210,461.02"
236,72375,"UnitedHealth Group, Inc.",MD,$-,$-,"($6,573,384.29)"
237,72564,"Evergreen Health Cooperative, Inc.",MD,$-,$-,"($12,553,358.10)"
238,90296,Kaiser Permanente,MD,"($76,072,410.03)","$166,411.98","$297,840.38"
239,94084,CareFirst,MD,"$30,869,159.91",$-,"$19,746,359.32"
240,11593,"HPHC Insurance Company, Inc",ME,$-,$-,"$1,241,361.85"
241,33653,Maine Community Health Options,ME,"$12,970,061.86","$77,398.92","($1,702,853.02)"
242,48396,"Anthem, Inc.",ME,"($7,710,588.40)","($77,398.92)","($927,203.64)"
243,53357,"Aetna, Inc.",ME,$-,$-,"$3,984,269.79"
244,73250,"Aetna, Inc.",ME,"($861,856.86)",$-,"$395,130.30"
245,90214,"UnitedHealth Group, Inc.",ME,$-,$-,"$167,711.97"
246,96667,"HPHC Insurance Company, Inc",ME,"($4,397,616.66)",$-,"($3,158,417.23)"
247,15560,Blue Cross Blue Shield of Michigan,MI,"$115,031,970.70","$2,097,903.42","$16,280,762.99"
248,20662,Physicians Health Plan,MI,$-,$-,"$204,816.58"
249,29241,Priority Health,MI,$-,$-,"$1,803,921.66"
250,29698,Priority Health,MI,"($51,264,049.56)",$-,"($6,012,985.38)"
251,37651,Health Alliance Plan [HAP],MI,"($10,217,305.00)","($813,903.65)","$1,936,909.52"
252,40047,Molina Healthcare,MI,"($25,642,430.62)",$-,$-
253,46275,"Humana, Inc.",MI,"$470,270.48","($369,552.25)",$-
254,52670,"UnitedHealth Group, Inc.",MI,$-,$-,"($47,492.44)"
255,58594,"Meridian Health Plan of Michigan, Inc.",MI,"($7,246,589.76)","($14,891.83)",$-
256,60829,Physicians Health Plan,MI,"($4,138,643.29)","($4,920.24)","($383,256.82)"
257,62294,"Humana, Inc.",MI,$-,$-,"($234,087.67)"
258,63631,"UnitedHealth Group, Inc.",MI,$-,$-,"$635,881.76"
259,67183,"Total Health Care USA, Inc.",MI,"$1,451,383.50",$-,"$797,979.46"
260,67577,Health Alliance Plan [HAP],MI,"($1,342,980.92)","($22,352.26)","($290,881.80)"
261,74917,McLaren Health Care,MI,"$1,632,443.19","($8,459.60)","($2,215,716.04)"
262,81068,"Aetna, Inc.",MI,"$135,739.67",$-,$-
263,82649,Federated Mutual,MI,$-,$-,"($4,226,509.16)"
264,95233,Paramount Insurance Company,MI,$-,$-,"$514,718.89"
265,98185,Blue Cross Blue Shield of Michigan,MI,"($18,869,808.35)","($863,823.58)","($8,764,061.52)"
266,31616,Medica Insurance Company,MN,"$1,026,285.49",$-,"$4,249,844.27"
267,34102,HealthPartners Insurance Company,MN,"($11,779,708.00)","($25,623.49)",$-
268,49316,Blue Cross Blue Shield of Minnesota,MN,"$576,069.02","$7,742.76","$27,191,741.94"
269,52346,Sanford Health Plan,MN,$-,$-,"($35,741.68)"
270,57129,Blue Cross Blue Shield of Minnesota,MN,"$18,188,214.99",$-,"($1,736,470.54)"
271,60769,Federated Mutual,MN,$-,$-,"($4,695,175.01)"
272,65847,Medica Insurance Company,MN,"$4,736,082.02","$279,392.44",$-
273,70373,Quartz Health Solutions,MN,$-,$-,"($140,404.30)"
274,79888,HealthPartners Insurance Company,MN,$-,$-,"($20,639,939.50)"
275,85654,HealthPartners Insurance Company,MN,"($32,581,892.54)","($539,198.50)","($243,046.42)"
276,85736,UCare Minnesota,MN,"$16,940,395.77","$244,878.27",$-
277,88102,PreferredOne Insurance Company,MN,"$2,894,553.23","$32,808.51","($4,018,305.68)"
278,97624,PreferredOne Insurance Company,MN,$-,$-,"$67,496.94"
279,30613,"Humana, Inc.",MO,"($953,788.23)","$15,772.32","($2,632,385.19)"
280,32753,"Anthem, Inc.",MO,"($16,369,614.91)","$387,467.61","$2,252,545.70"
281,32898,"Aetna, Inc.",MO,$-,$-,"$7,690.31"
282,34762,Blue Cross and Blue Shield of Kansas City,MO,"$11,830,633.92","($296,453.99)","($193,169.87)"
283,44240,"Aetna, Inc.",MO,"$26,201,662.68",$-,$-
284,44527,"Aetna, Inc.",MO,"$38,054,998.21",$-,"($283,399.25)"
285,48161,"Aetna, Inc.",MO,"$902,121.89",$-,"($165,381.25)"
286,64701,Federated Mutual,MO,$-,$-,"($86,018.29)"
287,74483,Cigna,MO,"($55,179,640.61)",$-,$-
288,95426,"UnitedHealth Group, Inc.",MO,$-,$-,"$3,411,247.92"
289,96384,Cox HealthPlans,MO,"($4,486,372.84)","($106,785.94)","($2,311,130.13)"
290,11721,Blue Cross Blue Shield of Mississippi,MS,"($3,256,377.37)",$-,"$297,010.36"
291,26781,"UnitedHealth Group, Inc.",MS,$-,$-,"($101,762.79)"
292,38420,Federated Mutual,MS,$-,$-,"$388,021.97"
293,48963,"Humana, Inc.",MS,"$6,306,573.00",$0.00,"($121,751.15)"
294,61794,"UnitedHealth Group, Inc.",MS,$-,$-,"($100,970.75)"
295,90714,Centene Corporation,MS,"($3,114,444.88)",$-,$-
296,97560,"UnitedHealth Group, Inc.",MS,"$64,249.25",$-,"($245,314.69)"
297,98805,"UnitedHealth Group, Inc.",MS,$-,$-,"($115,232.97)"
298,23603,PacificSource Health Plans,MT,"($4,285,653.39)",$-,"($5,022,612.65)"
299,30751,Health Care Service Corporation,MT,"$30,794,654.82","($10,026.79)","$5,135,778.09"
300,32225,Montana Health Cooperative,MT,"($26,509,001.44)","$10,026.79","($195,493.29)"
301,46621,"UnitedHealth Group, Inc.",MT,$-,$-,"$82,327.89"
302,11512,Blue Cross Blue Shield of North Carolina,NC,"$32,023,793.52","($21,491.14)","$20,825,917.17"
303,24588,Federated Mutual,NC,$-,$-,"($874,338.96)"
304,40411,Cigna,NC,"$1,957,591.49",$-,$-
305,43283,FirstCarolinaCare Insurance Company,NC,$-,$-,"($320,037.63)"
306,54332,"UnitedHealth Group, Inc.",NC,"$754,873.06",$-,"($6,813,683.01)"
307,56346,"Aetna, Inc.",NC,$-,$-,($496.55)
308,58658,"UnitedHealth Group, Inc.",NC,$-,$-,"($1,500,782.33)"
309,61644,"Aetna, Inc.",NC,$-,$-,"($1,882,911.96)"
310,61671,"Aetna, Inc.",NC,"$501,186.87","$21,491.13","($829,824.11)"
311,69347,"UnitedHealth Group, Inc.",NC,$-,$-,"($8,505,943.13)"
312,72487,"UnitedHealth Group, Inc.",NC,$-,$-,"($55,295.84)"
313,73943,Cigna,NC,"($35,237,444.92)",$-,$-
314,94459,"Aetna, Inc.",NC,$-,$-,"($42,603.88)"
315,37160,Blue Cross Blue Shield of North Dakota,ND,"$2,750,180.76","$42,670.26","$2,043,714.04"
316,39364,Medica Insurance Company,ND,$-,$-,"($637,918.70)"
317,73751,Medica Insurance Company,ND,"($1,475,727.34)","($40,724.05)","($86,298.47)"
318,89364,Sanford Health Plan,ND,"($1,274,453.42)","($1,946.20)","($1,319,496.88)"
319,15438,"Aetna, Inc.",NE,"$573,062.47",$-,"$14,624.59"
320,20305,Medica Insurance Company,NE,"($2,937,542.90)","$190,606.17",$-
321,29678,Blue Cross and Blue Shield of Nebraska,NE,"$5,775,059.68","($113,196.61)","($714,347.89)"
322,44751,"UnitedHealth Group, Inc.",NE,"$213,968.17",$-,"($43,093.51)"
323,44794,"Aetna, Inc.",NE,"($3,624,547.39)","($77,409.57)","$265,150.75"
324,47340,Federated Mutual,NE,$-,$-,"($1,319,469.39)"
325,59699,"Aetna, Inc.",NE,$-,$-,"($456,978.76)"
326,73102,"UnitedHealth Group, Inc.",NE,$-,$-,"$1,925,330.62"
327,79636,"Aetna, Inc.",NE,$-,$-,"$328,783.58"
328,19304,Maine Community Health Options,NH,$-,$-,"($1,293,589.13)"
329,51889,"UnitedHealth Group, Inc.",NH,$-,$-,"$364,513.29"
330,57601,"Anthem, Inc.",NH,$-,$-,"$759,048.06"
331,59025,"HPHC Insurance Company, Inc",NH,"$15,811,230.04",$-,"$118,817.56"
332,61163,"Minuteman Health, Inc.",NH,"($38,885,008.22)","($223,778.01)","($293,882.39)"
333,71616,"HPHC Insurance Company, Inc",NH,$-,$-,"$5,080,495.90"
334,75841,Centene Corporation,NH,"$14,425,154.93",$-,$-
